Nameservice Startzeit: 08.05 16:01:14,437| mit PID <0.81.0> registriert mit Namen nameservice.
rebind um 08.05 16:04:52,589| von <10472.78.0>: {ko,koord@ralf-PC}.
lookup um 08.05 16:17:37,556| von <10474.61.0>:{ko,koord@ralf-PC}.
lookup um 08.05 16:19:04,667| von <10474.61.0>:{ko,koord@ralf-PC}.
lookup um 08.05 16:20:55,881| von <10474.61.0>:{ko,koord@ralf-PC}.
lookup um 08.05 16:23:29,275| von <10474.61.0>:{ko,koord@ralf-PC}.
Nameservice Startzeit: 08.05 16:23:45,998| mit PID <0.63.0> registriert mit Namen nameservice.
rebind um 08.05 16:23:52,378| von <7436.61.0>: {ko,koord@ralf-PC}.
lookup um 08.05 16:24:01,379| von <7438.61.0>:{ko,koord@ralf-PC}.
lookup um 08.05 16:25:13,296| von <7438.61.0>:{ko,koord@ralf-PC}.
lookup um 08.05 16:25:39,690| von <7438.61.0>:{ko,koord@ralf-PC}.
rebind um 08.05 16:26:03,357| von <7436.61.0>: {ko,koord@ralf-PC}.
lookup um 08.05 16:26:06,133| von <7438.61.0>:{ko,koord@ralf-PC}.
Nameservice Startzeit: 08.05 16:26:16,812| mit PID <0.63.0> registriert mit Namen nameservice.
lookup um 08.05 16:26:23,754| von <7436.61.0>:not_found:ko.
rebind um 08.05 16:26:39,901| von <7438.61.0>: {ko,koord@ralf-PC}.
lookup um 08.05 16:26:42,631| von <7436.75.0>:{ko,koord@ralf-PC}.
lookup um 08.05 16:26:50,103| von <7436.61.0>:{ko,koord@ralf-PC}.
lookup um 08.05 16:27:00,415| von <7436.61.0>:{ko,koord@ralf-PC}.
Nameservice Startzeit: 09.05 09:28:45,564| mit PID <0.63.0> registriert mit Namen nameservice.
rebind um 09.05 09:28:58,044| von <7437.61.0>: {chef,chef@ralf-PC}.
Nameservice Startzeit: 09.05 09:30:03,645| mit PID <0.63.0> registriert mit Namen nameservice.
rebind um 09.05 09:30:18,264| von <7437.61.0>: {chef,chef@ralf-PC}.
lookup um 09.05 09:30:27,014| von <7439.61.0>:{chef,chef@ralf-PC}.
Nameservice Startzeit: 09.05 09:31:17,226| mit PID <0.63.0> registriert mit Namen nameservice.
rebind um 09.05 09:31:24,167| von <7437.61.0>: {chef,chef@ralf-PC}.
lookup um 09.05 09:31:33,060| von <7439.61.0>:{chef,chef@ralf-PC}.
rebind um 09.05 09:31:34,090| von <7439.98.0>: {'1509',start@ralf-PC}.
rebind um 09.05 09:31:34,090| von <7439.99.0>: {'1508',start@ralf-PC}.
rebind um 09.05 09:31:34,090| von <7439.100.0>: {'1507',start@ralf-PC}.
rebind um 09.05 09:31:34,090| von <7439.101.0>: {'1506',start@ralf-PC}.
rebind um 09.05 09:31:34,090| von <7439.102.0>: {'1505',start@ralf-PC}.
rebind um 09.05 09:31:34,090| von <7439.103.0>: {'1504',start@ralf-PC}.
rebind um 09.05 09:31:34,090| von <7439.104.0>: {'1503',start@ralf-PC}.
lookup um 09.05 09:31:34,090| von <7439.98.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:31:34,090| von <7439.99.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:31:34,090| von <7439.100.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:31:34,090| von <7439.101.0>:{chef,chef@ralf-PC}.
rebind um 09.05 09:31:34,105| von <7439.105.0>: {'1502',start@ralf-PC}.
rebind um 09.05 09:31:34,105| von <7439.106.0>: {'1501',start@ralf-PC}.
lookup um 09.05 09:31:34,105| von <7439.102.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:31:34,105| von <7439.103.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:31:34,105| von <7439.104.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:31:34,105| von <7439.105.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:31:34,105| von <7439.106.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:32:52,823| von <7449.61.0>:{chef,chef@ralf-PC}.
lookup um 09.05 09:33:17,596| von <7449.61.0>:{chef,chef@ralf-PC}.
Nameservice Startzeit: 09.05 09:36:39,708| mit PID <0.77.0> registriert mit Namen nameservice.
rebind um 09.05 09:36:53,185| von <10457.61.0>: {chef,chef@ralf-PC}.
lookup um 09.05 09:36:56,649| von <10459.61.0>:{chef,chef@ralf-PC}.
rebind um 09.05 09:36:57,663| von <10459.80.0>: {'1509',start@ralf-PC}.
rebind um 09.05 09:36:57,663| von <10459.81.0>: {'1508',start@ralf-PC}.
